,,,train,valid,test
BAG,ADULT,20/80,1.0,0.8452500000000001,0.8501900534276069
BAG,ADULT,5-fold,0.999925,0.8542,0.8501900534276069
BAG,ADULT,50/50,0.9999333333333333,0.8483333333333333,0.8501103107307089
BAG,ADULT,80/20,0.9999166666666666,0.8525,0.8501900534276069
BAG,CAPE,20/80,1.0,0.8805416666666667,0.8967250451582502
BAG,CAPE,5-fold,1.0,0.8963999999999999,0.8967250451582502
BAG,CAPE,50/50,1.0,0.8866666666666667,0.8957040760229326
BAG,CAPE,80/20,1.0,0.8958333333333334,0.8967250451582502
BAG,DIAB,20/80,1.0,0.8530833333333333,0.8566275443204202
BAG,DIAB,5-fold,0.9995749999999999,0.8568,0.8559504267892318
BAG,DIAB,50/50,0.9996666666666667,0.8535333333333334,0.8563690085357847
BAG,DIAB,80/20,0.9995833333333334,0.8523333333333335,0.8563690085357847
BAG,MARK,20/80,1.0,0.875,0.884344956234754
BAG,MARK,5-fold,1.0,0.8785000000000001,0.8839623092744057
BAG,MARK,50/50,1.0,0.8764,0.884344956234754
BAG,MARK,80/20,1.0,0.8773333333333332,0.8839623092744057
BST,ADULT,20/80,0.9153333333333333,0.85575,0.8662714973020388
BST,ADULT,5-fold,0.927125,0.8696999999999999,0.8661917546051408
BST,ADULT,50/50,0.8994,0.8614,0.8662714973020388
BST,ADULT,80/20,0.8956666666666667,0.8716666666666666,0.8662183355041068
BST,CAPE,20/80,0.9751666666666666,0.884375,0.8946831068876149
BST,CAPE,5-fold,0.9896499999999999,0.8985,0.8960967564595932
BST,CAPE,50/50,0.9983999999999998,0.8918,0.8960967564595932
BST,CAPE,80/20,1.0,0.8985,0.8935836016649651
BST,DIAB,20/80,0.8905,0.8619166666666667,0.8631401838476691
BST,DIAB,5-fold,0.8706250000000001,0.8636999999999999,0.8631401838476691
BST,DIAB,50/50,0.8732000000000001,0.8617333333333334,0.8624835850295469
BST,DIAB,80/20,0.8770833333333332,0.8613333333333334,0.8628241956664477
BST,MARK,20/80,0.9625,0.8752083333333333,0.8858755440761468
BST,MARK,5-fold,0.9285500000000001,0.8853000000000002,0.8858755440761468
BST,MARK,50/50,0.9877333333333334,0.8802666666666666,0.8844884488448845
BST,MARK,80/20,0.9754583333333334,0.8843333333333333,0.8844884488448845
DT,ADULT,20/80,0.8645,0.8496666666666667,0.8479306770154966
DT,ADULT,5-fold,0.8516,0.8515,0.8479306770154966
DT,ADULT,50/50,0.8540666666666666,0.8437333333333333,0.8479306770154966
DT,ADULT,80/20,0.8511666666666667,0.8498333333333333,0.8479306770154966
DT,CAPE,20/80,0.8811666666666667,0.8654583333333333,0.8670384041467054
DT,CAPE,5-fold,0.869425,0.8669,0.8670384041467054
DT,CAPE,50/50,0.8717333333333332,0.8627333333333334,0.8670384041467054
DT,CAPE,80/20,0.8693333333333334,0.8686666666666666,0.8670384041467054
DT,DIAB,20/80,0.8626666666666667,0.8614583333333332,0.8606245896257386
DT,DIAB,5-fold,0.8616999999999999,0.8616999999999999,0.8606245896257386
DT,DIAB,50/50,0.8626666666666667,0.8607333333333335,0.8606245896257386
DT,DIAB,80/20,0.862375,0.859,0.8606245896257386
DT,MARK,20/80,0.8816666666666667,0.867125,0.8725307313340029
DT,MARK,5-fold,0.8711500000000001,0.8675,0.8725307313340029
DT,MARK,50/50,0.8706666666666667,0.8645333333333333,0.8687042617305208
DT,MARK,80/20,0.8718750000000001,0.8598333333333334,0.8725307313340029
RF,ADULT,20/80,1.0,0.8494583333333333,0.8526886579304112
RF,ADULT,5-fold,0.999925,0.8587,0.8524228489407512
RF,ADULT,50/50,0.9999333333333333,0.8532666666666667,0.8524228489407512
RF,ADULT,80/20,0.9999166666666666,0.8585000000000002,0.8524228489407512
RF,CAPE,20/80,1.0,0.883375,0.8970391895075788
RF,CAPE,5-fold,1.0,0.8974,0.8964109008089217
RF,CAPE,50/50,1.0,0.8876,0.8956255399356005
RF,CAPE,80/20,1.0,0.8969999999999999,0.8949187151496113
RF,DIAB,20/80,1.0,0.8623333333333333,0.8621593893630991
RF,DIAB,5-fold,0.9996,0.8644000000000001,0.8619747209455023
RF,DIAB,50/50,0.9996666666666667,0.8607333333333335,0.8611539724228496
RF,DIAB,80/20,0.9995833333333334,0.8591666666666667,0.8619747209455023
RF,MARK,20/80,1.0,0.8766249999999999,0.8842014636246234
RF,MARK,5-fold,1.0,0.8823999999999999,0.8824795523030564
RF,MARK,50/50,1.0,0.8789333333333333,0.8835318314440139
RF,MARK,80/20,1.0,0.8795000000000001,0.8825752140431434
